baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,cohens_d_paired,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,bootstrap_95ci_low,bootstrap_95ci_high
fixed_mission_utility,hybrid_fixed_0p50_mask_supervised_cems_hls_0p50,semantic_utility_score,80,97.16635775081404,97.08198390024292,-0.0843738505711336,-0.08351717407518305,-0.7470003140831698,0.4572809087679621,263.5,0.3988869619828366,-0.3096254405574093,0.13731808095790762
fixed_mission_utility,hybrid_fixed_0p50_mask_supervised_cems_hls_0p50,detector_retention,80,0.994158161431551,0.9938852444291115,-0.0002729170024394989,-0.06426322871655969,-0.5747877914553761,0.5670681481933222,20.0,0.4445867389117455,-0.0012324101850390433,0.0006507033109664916
fixed_mission_utility,hybrid_fixed_0p50_mask_supervised_cems_hls_0p50,psnr,80,18.342517360177514,18.37022449752144,0.02770713734392376,0.24563186190391267,2.1969981626279584,0.03095101622409474,1065.0,0.0077691866252886715,0.0019280717586283634,0.0512805502612132
fixed_mission_utility,hybrid_fixed_0p50_mask_supervised_cems_hls_0p50,ssim,80,0.8164275533515207,0.816366669276313,-6.088407520766434e-05,-0.018942710258999643,-0.1694287512688234,0.8658925075443954,1569.0,0.8067579195077692,-0.0007883083876938139,0.0006128648061390585
fixed_mission_utility,hybrid_fixed_0p60_mask_supervised_cems_hls_0p40,semantic_utility_score,80,97.16635775081404,97.01175919700904,-0.1545985538050168,-0.1586716887322802,-1.4192027284402642,0.15977359654576775,192.5,0.1812024468725666,-0.3771717449883357,0.05937175619978041
fixed_mission_utility,hybrid_fixed_0p60_mask_supervised_cems_hls_0p40,detector_retention,80,0.994158161431551,0.9942761600017548,0.00011799857020378113,0.04444199109998911,0.3975012526200652,0.6920698753018157,23.0,0.6464622026641696,-0.0004812194406986236,0.0007252958789467804
fixed_mission_utility,hybrid_fixed_0p60_mask_supervised_cems_hls_0p40,psnr,80,18.342517360177514,18.36415652506412,0.021639164886607044,0.2487509330308143,2.2248959828935946,0.028940917559604193,1001.0,0.004660430003531461,0.001391083917672147,0.039471973480373235
fixed_mission_utility,hybrid_fixed_0p60_mask_supervised_cems_hls_0p40,ssim,80,0.8164275533515207,0.8163257874227332,-0.00010176592878747558,-0.04278842539504592,-0.3827113113340039,0.7029615989900202,1524.0,0.7843337039863801,-0.0006360975321331382,0.00038042767979723545
fixed_mission_utility,hybrid_fixed_0p70_mask_supervised_cems_hls_0p30,semantic_utility_score,80,97.16635775081404,97.0459594922566,-0.12039825855745132,-0.15044155456681121,-1.3455901706085354,0.1822840919862974,210.0,0.20775690342720332,-0.29955497099016437,0.04568412241691034
fixed_mission_utility,hybrid_fixed_0p70_mask_supervised_cems_hls_0p30,detector_retention,80,0.994158161431551,0.9943479783833027,0.00018981695175170898,0.10693153202033624,0.9564246981426691,0.34177542662852056,24.0,0.4235963177660037,-0.00016708392649888981,0.0005914850160479539
fixed_mission_utility,hybrid_fixed_0p70_mask_supervised_cems_hls_0p30,psnr,80,18.342517360177514,18.359277461647245,0.016760101469731437,0.2792884950249713,2.49803224083779,0.014565185484724397,1037.0,0.007961958425596424,0.0032404711326893525,0.029556860724061964
