bandwidth_saved_percent,compression_ratio,detector_retention,image,image_index,inference_latency_ms,keep_ratio,lpips,object_retention,psnr,region_preservation,relevance_retention,semantic_token_count,semantic_utility_score,ssim,total_token_count,variant
98.8,83.3584,0.759731,datasets\sentinel2_500_patch\images\sentinel2_patch_00000.png,1,920.3664,0.8,0.549751,1.0,19.7499,0.480892,0.774574,3277,80.6896,0.7815,4096,full_detail_aware
98.8,83.3584,0.813528,datasets\sentinel2_500_patch\images\sentinel2_patch_00000.png,1,584.8866,0.8,0.552831,1.0,19.4111,0.519108,0.820771,3277,84.1476,0.7709,4096,without_detail_term
98.78,82.2166,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00001.png,2,542.7008,0.8,0.513505,1.0,20.0283,1.0,1.0,3277,100.0,0.8076,4096,full_detail_aware
98.78,82.2989,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00001.png,2,531.7211,0.8,0.514469,1.0,19.8512,1.0,1.0,3277,100.0,0.8022,4096,without_detail_term
98.78,82.1244,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00002.png,3,519.1655,0.8,0.519217,1.0,19.6234,1.0,1.0,3277,100.0,0.7962,4096,full_detail_aware
98.78,82.1244,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00002.png,3,535.7781,0.8,0.521384,1.0,19.3883,1.0,1.0,3277,100.0,0.7886,4096,without_detail_term
98.8,83.426,0.719897,datasets\sentinel2_500_patch\images\sentinel2_patch_00003.png,4,524.2491,0.8,0.553296,1.0,19.6734,0.472574,0.736404,3277,78.2497,0.7598,4096,full_detail_aware
98.81,83.9534,0.722991,datasets\sentinel2_500_patch\images\sentinel2_patch_00003.png,4,537.6319,0.8,0.554603,1.0,19.2938,0.481013,0.736042,3277,78.4506,0.7471,4096,without_detail_term
98.81,84.1512,0.723723,datasets\sentinel2_500_patch\images\sentinel2_patch_00004.png,5,527.4955,0.8,0.57509,1.0,19.3461,0.481481,0.737035,3277,78.5044,0.7449,4096,full_detail_aware
98.81,84.0618,0.722322,datasets\sentinel2_500_patch\images\sentinel2_patch_00004.png,5,535.5847,0.8,0.576555,1.0,19.15,0.489712,0.735167,3277,78.4933,0.738,4096,without_detail_term
98.88,89.303,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00005.png,6,522.0052,0.8,0.6145,1.0,20.275,0.865234,1.0,3277,98.6523,0.9125,4096,full_detail_aware
98.89,89.804,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00005.png,6,540.5228,0.8,0.617245,1.0,20.1902,0.875977,1.0,3277,98.7598,0.9107,4096,without_detail_term
98.89,90.1965,0.784525,datasets\sentinel2_500_patch\images\sentinel2_patch_00006.png,7,541.9229,0.8,0.636768,0.896552,19.5226,0.234375,0.791113,3277,76.4436,0.9139,4096,full_detail_aware
98.89,90.2861,0.787898,datasets\sentinel2_500_patch\images\sentinel2_patch_00006.png,7,551.6489,0.8,0.640881,0.896552,19.4917,0.236328,0.794166,3277,76.6591,0.9128,4096,without_detail_term
98.89,89.7938,0.792381,datasets\sentinel2_500_patch\images\sentinel2_patch_00007.png,8,536.5302,0.8,0.638942,0.83871,19.5917,0.299805,0.797573,3277,75.806,0.9149,4096,full_detail_aware
98.89,89.9906,0.79593,datasets\sentinel2_500_patch\images\sentinel2_patch_00007.png,8,539.4407,0.8,0.641172,0.967742,19.5426,0.305664,0.801029,3277,79.9467,0.9139,4096,without_detail_term
98.88,89.4061,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00008.png,9,548.9111,0.8,0.618934,0.96875,20.6415,0.813477,1.0,3277,97.1973,0.9015,4096,full_detail_aware
98.89,89.7468,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00008.png,9,540.9054,0.8,0.621009,0.96875,20.5707,0.814453,1.0,3277,97.207,0.9,4096,without_detail_term
98.88,89.0381,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00009.png,10,559.2413,0.8,0.632323,0.944444,20.9804,0.78418,1.0,3277,96.1751,0.91,4096,full_detail_aware
98.88,89.1631,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00009.png,10,568.6046,0.8,0.629439,0.944444,20.8858,0.769531,1.0,3277,96.0286,0.9082,4096,without_detail_term
98.91,91.8907,0.712637,datasets\sentinel2_500_patch\images\sentinel2_patch_00010.png,11,563.6049,0.8,0.468152,1.0,28.9028,1.0,0.727293,3277,83.0514,0.9167,4096,full_detail_aware
98.91,92.1388,0.711015,datasets\sentinel2_500_patch\images\sentinel2_patch_00010.png,11,563.2915,0.8,0.468544,1.0,28.8854,1.0,0.725608,3277,82.9528,0.9165,4096,without_detail_term
98.94,93.9821,0.54565,datasets\sentinel2_500_patch\images\sentinel2_patch_00011.png,12,522.5215,0.8,0.515524,1.0,28.0135,0.402685,0.553135,3277,66.9156,0.906,4096,full_detail_aware
98.93,93.8293,0.545983,datasets\sentinel2_500_patch\images\sentinel2_patch_00011.png,12,519.5519,0.8,0.517025,1.0,28.0138,0.404362,0.553483,3277,66.9526,0.9061,4096,without_detail_term
98.88,88.9207,0.701257,datasets\sentinel2_500_patch\images\sentinel2_patch_00012.png,13,536.7049,0.8,0.438792,1.0,29.5026,0.851964,0.708906,3277,80.7481,0.9931,4096,full_detail_aware
98.88,88.9692,0.701469,datasets\sentinel2_500_patch\images\sentinel2_patch_00012.png,13,554.3187,0.8,0.438928,1.0,29.4995,0.851964,0.709094,3277,80.7603,0.9931,4096,without_detail_term
98.85,86.7631,0.738395,datasets\sentinel2_500_patch\images\sentinel2_patch_00013.png,14,563.2806,0.8,0.431277,0.8,29.1703,0.858228,0.746968,3277,77.0574,0.9934,4096,full_detail_aware
98.85,86.7863,0.740975,datasets\sentinel2_500_patch\images\sentinel2_patch_00013.png,14,513.8327,0.8,0.431027,0.8,29.1843,0.858228,0.749593,3277,77.2131,0.9935,4096,without_detail_term
98.86,87.7204,0.845896,datasets\sentinel2_500_patch\images\sentinel2_patch_00014.png,15,564.7509,0.8,0.518771,1.0,27.0677,1.0,0.847101,3277,90.7779,0.9234,4096,full_detail_aware
98.86,87.4871,0.842106,datasets\sentinel2_500_patch\images\sentinel2_patch_00014.png,15,524.0589,0.8,0.518999,1.0,27.0226,1.0,0.84331,3277,90.5505,0.9229,4096,without_detail_term
98.91,91.764,0.586531,datasets\sentinel2_500_patch\images\sentinel2_patch_00015.png,16,547.4405,0.8,0.496147,1.0,28.028,0.369565,0.60639,3277,69.2847,0.9218,4096,full_detail_aware
98.91,91.8128,0.583818,datasets\sentinel2_500_patch\images\sentinel2_patch_00015.png,16,544.3914,0.8,0.496702,1.0,28.0125,0.369565,0.603569,3277,69.1197,0.9215,4096,without_detail_term
98.92,92.367,0.594336,datasets\sentinel2_500_patch\images\sentinel2_patch_00016.png,17,522.2147,0.8,0.488952,1.0,28.3089,0.272727,0.61434,3277,68.7875,0.9183,4096,full_detail_aware
98.91,92.143,0.624412,datasets\sentinel2_500_patch\images\sentinel2_patch_00016.png,17,581.4205,0.8,0.488759,1.0,28.4352,0.295455,0.645801,3277,70.847,0.92,4096,without_detail_term
98.87,88.2739,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00017.png,18,590.3271,0.8,0.525533,1.0,21.7729,0.984375,1.0,3277,99.8438,0.8521,4096,full_detail_aware
98.87,88.199,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00017.png,18,583.4512,0.8,0.525123,1.0,21.7524,0.984375,1.0,3277,99.8438,0.8512,4096,without_detail_term
98.85,86.9955,0.98751,datasets\sentinel2_500_patch\images\sentinel2_patch_00018.png,19,557.6348,0.8,0.545642,1.0,20.4882,0.850877,0.951495,3277,97.0391,0.8272,4096,full_detail_aware
98.85,87.1394,0.97797,datasets\sentinel2_500_patch\images\sentinel2_patch_00018.png,19,637.3348,0.8,0.545962,1.0,20.4654,0.850877,0.942183,3277,96.4713,0.8264,4096,without_detail_term
98.89,90.2109,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00019.png,20,633.2013,0.8,0.514616,0.714286,25.9201,1.0,1.0,3277,91.4286,0.9772,4096,full_detail_aware
