epoch,train_loss,validation_loss,train_samples,validation_samples
1,0.005980558928005701,0.004001960927952629,2579,645
2,0.003156733203926418,0.00352100202684695,2579,645
3,0.002911695860845713,0.0032495126394643413,2579,645
4,0.002807452407299558,0.0030819903984494407,2579,645
5,0.002695059828239957,0.002948088031778809,2579,645
6,0.002590864060191513,0.002874417662148566,2579,645
7,0.0025320701153344304,0.0028629301333697984,2579,645
8,0.0024910278846556476,0.002846616174307807,2579,645
9,0.002458679717735663,0.0028652511558620902,2579,645
10,0.002431485640230635,0.0028731668040281803,2579,645
11,0.0024113869794136185,0.0028868043881073026,2579,645
12,0.002395008138430079,0.002883081241565406,2579,645
