bandwidth_saved_percent,compression_ratio,detector_retention,energy_j,image,keep_ratio,lpips,method,object_retention,psnr,region_preservation,relevance_retention,semantic_utility_score,ssim
99.66,292.0106,0.067034,22.615003,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.1,0.733103,utility_aware_10,0.3125,12.8615,0.184971,0.066887,15.2438,0.2489
99.49,197.6191,0.207371,7.623544,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.2,0.660229,utility_aware_20,0.5625,13.8114,0.491329,0.205596,34.1951,0.3859
99.35,154.1562,0.39684,7.411675,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.3,0.624407,utility_aware_30,1.0,14.9094,0.83815,0.392583,62.1068,0.502
99.22,128.4555,0.625579,7.627098,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.4,0.597229,utility_aware_40,1.0,16.4111,1.0,0.621022,77.4436,0.6162
99.1,111.2309,0.754743,7.799995,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.5,0.583486,utility_aware_50,1.0,17.2613,1.0,0.753592,85.2616,0.6731
98.99,98.8808,0.85156,8.102341,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.6,0.570801,utility_aware_60,1.0,18.0208,1.0,0.854278,91.1479,0.7129
98.88,89.2695,0.943636,7.788225,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.7,0.560197,utility_aware_70,1.0,19.5218,1.0,0.949484,96.7351,0.7666
98.79,82.9188,0.99334,8.097884,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.8,0.553061,utility_aware_80,1.0,20.2514,1.0,1.0,99.7336,0.7917
98.72,78.236,1.0,8.722406,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,0.9,0.543853,utility_aware_90,1.0,21.5673,1.0,1.0,100.0,0.8247
98.7,76.8765,1.0,8.581525,datasets\sentinel2_100_patch\images\sentinel2_cems_0000.png,1.0,0.536493,utility_aware_100,1.0,28.73,0.705202,1.0,97.052,0.9142
