bootstrap_ci_high,bootstrap_ci_low,cohens_d,comparison,dataset,metric,n,note,paired_t_p,wilcoxon_p
-14.834528,-20.255813,-1.2229802706455153,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,semantic_utility_score,100,,1.6592982638047465e-21,5.767991114056245e-15
-0.206141,-0.283035,-1.2167597332253823,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,detector_retention,100,,2.2513249788997796e-21,4.0722158655202023e-14
132.088231,123.365765,5.7826768783613876,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,compression_ratio,100,,4.1228568350502194e-78,3.8965598450959084e-18
3.388583,3.001173,3.2709706505426097,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,bandwidth_saved_percent,100,,7.085172006859446e-55,3.894362299472809e-18
-9.730934,-10.83519,-3.4829612814935653,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,psnr,100,,2.313438288047269e-57,3.8965598450959084e-18
-0.298117,-0.355334,-2.0851628169040906,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,ssim,100,,5.317250418101161e-38,3.896340037647931e-18
0.408644,0.377366,4.974448402767379,jpeg_quality_20_vs_vqvae_utility_45,sentinel2,lpips,100,,7.486062462682571e-72,3.8965598450959084e-18
-16.045858,-21.590577,-1.3125195346942276,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,semantic_utility_score,100,,2.1363816286103194e-23,2.6339244097891864e-15
-0.215074,-0.292732,-1.2665961729592248,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,detector_retention,100,,1.9724460200921428e-22,9.349426558199171e-15
142.893752,135.703386,7.577570237718578,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,compression_ratio,100,,1.7768351345497e-89,3.8965598450959084e-18
6.082845,5.521295,4.153076465233729,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,bandwidth_saved_percent,100,,1.9072897493911422e-64,3.896120241954008e-18
-11.047394,-12.265165,-3.564000762177717,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,psnr,100,,2.8032403415883264e-58,3.8965598450959084e-18
-0.315228,-0.373917,-2.1498411042002585,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,ssim,100,,4.441959150935047e-39,3.896340037647931e-18
0.523225,0.490046,5.957156664495597,jpeg_quality_40_vs_vqvae_utility_45,sentinel2,lpips,100,,2.3575181318804786e-79,3.8965598450959084e-18
-10.603903,-16.141946,-0.9437665540388697,vqvae_full_vs_vqvae_utility_45,sentinel2,semantic_utility_score,100,,1.844346686402015e-15,1.2359302779112197e-12
-0.16958,-0.245839,-1.059277004726401,vqvae_full_vs_vqvae_utility_45,sentinel2,detector_retention,100,,5.591877503473689e-18,5.3765715720295636e-14
58.481622,54.698707,5.836772432090237,vqvae_full_vs_vqvae_utility_45,sentinel2,compression_ratio,100,,1.6832698527392494e-78,3.8965598450959084e-18
0.376002,0.358195,7.831383702209499,vqvae_full_vs_vqvae_utility_45,sentinel2,bandwidth_saved_percent,100,,7.179932554436303e-91,3.694002300150172e-18
-5.816378,-6.889136,-2.2522785993231755,vqvae_full_vs_vqvae_utility_45,sentinel2,psnr,100,,9.608730065534786e-41,3.8965598450959084e-18
-0.190169,-0.243409,-1.4810819732115945,vqvae_full_vs_vqvae_utility_45,sentinel2,ssim,100,,7.4376742925995e-27,3.896340037647931e-18
0.054112,0.038573,1.1697329288159302,vqvae_full_vs_vqvae_utility_45,sentinel2,lpips,100,,2.2839871131020308e-20,1.905059820296527e-16
12.073728,5.168186,0.4796983541149293,vqvae_random_45_vs_vqvae_utility_45,sentinel2,semantic_utility_score,100,,5.695871408787116e-06,2.751185789058407e-06
0.104388,0.030133,0.3444952703442391,vqvae_random_45_vs_vqvae_utility_45,sentinel2,detector_retention,100,,0.0008391284628478121,0.00020275173445196985
3.897522,1.899493,0.5698268244323228,vqvae_random_45_vs_vqvae_utility_45,sentinel2,compression_ratio,100,,1.2485816488671144e-07,2.7550113609516602e-08
0.0153,0.0068,0.48749205090319864,vqvae_random_45_vs_vqvae_utility_45,sentinel2,bandwidth_saved_percent,100,,4.14939943609323e-06,1.771781209246754e-07
1.263003,0.190172,0.26156498705962,vqvae_random_45_vs_vqvae_utility_45,sentinel2,psnr,100,,0.010298983042584661,0.018339527184953693
0.221794,0.153863,1.0097261668594522,vqvae_random_45_vs_vqvae_utility_45,sentinel2,ssim,100,,6.712329745748076e-17,4.0206139549571546e-13
0.009119,-0.004399,0.06668980921336584,vqvae_random_45_vs_vqvae_utility_45,sentinel2,lpips,100,,0.5063885914657863,0.2288162707681446
6.471837,2.669706,0.4875916467648936,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,semantic_utility_score,100,,4.132561688975866e-06,3.5079736021007527e-06
0.069575,0.022372,0.37844768600757583,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,detector_retention,100,,0.00026401695831927837,0.0004821768869259047
2.577267,1.125228,0.4957161491362246,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,compression_ratio,100,,2.9614998808188885e-06,1.534362172407247e-05
0.0106,0.004797,0.5049805455749306,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,bandwidth_saved_percent,100,,2.0181259763899634e-06,1.0233409869934359e-05
1.366465,0.475931,0.4185186129525125,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,psnr,100,,6.176854194468891e-05,0.00014915489088450145
0.182399,0.126319,1.057667835386004,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,ssim,100,,6.06118314173061e-18,1.965176411087349e-13
0.005543,-0.002385,0.07105728029447732,vqvae_entropy_45_vs_vqvae_utility_45,sentinel2,lpips,100,,0.4790196247976236,0.8124671821144986
