bandwidth_saved_percent_ci_high,bandwidth_saved_percent_ci_low,bandwidth_saved_percent_mean,bandwidth_saved_percent_std,compression_ratio_ci_high,compression_ratio_ci_low,compression_ratio_mean,compression_ratio_std,detector_retention_ci_high,detector_retention_ci_low,detector_retention_mean,detector_retention_std,keep_ratio,lpips_ci_high,lpips_ci_low,lpips_mean,lpips_std,n_images,operating_score,psnr_ci_high,psnr_ci_low,psnr_mean,psnr_std,recommendation,semantic_utility_score_ci_high,semantic_utility_score_ci_low,semantic_utility_score_mean,semantic_utility_score_std,ssim_ci_high,ssim_ci_low,ssim_mean,ssim_std
99.7442,99.7328,99.7388,0.030823,394.28484,379.435903,387.088366,40.253338,0.431407,0.308119,0.368519,0.312484,0.1,0.802648,0.774484,0.788512,0.071161,100,70.028652,12.206587,11.362932,11.772493,2.027889,,52.73038,42.393535,47.575026,26.28774,0.297576,0.247868,0.2717,0.125422
99.620603,99.604,99.6126,0.045474,266.055381,256.231119,261.130522,26.866177,0.55271,0.438503,0.493436,0.288068,0.2,0.769852,0.736066,0.753396,0.084693,100,76.879528,13.419953,12.448291,12.922479,2.348186,,64.610417,55.576429,60.093373,22.308291,0.446994,0.388605,0.417471,0.150933
99.5109,99.489895,99.5007,0.05652,206.238584,198.815487,202.570738,20.191461,0.651238,0.550255,0.598544,0.258945,0.3,0.753326,0.716975,0.735489,0.091488,100,77.934126,14.562368,13.50216,14.016725,2.605199,,72.666822,64.751952,68.595226,20.154142,0.551034,0.48868,0.520501,0.161458
99.412,99.38769,99.4002,0.065227,171.243238,165.270553,168.292406,16.090244,0.74697,0.662135,0.702173,0.215867,0.4,0.740479,0.703157,0.72221,0.095839,100,79.831337,15.658267,14.573301,15.096493,2.685511,,80.052534,73.562781,76.658143,16.195711,0.627477,0.563606,0.597051,0.16564
99.318505,99.2921,99.3057,0.071749,147.709273,142.853229,145.363563,13.245045,0.819648,0.747331,0.783379,0.178797,0.5,0.729807,0.691331,0.711405,0.098442,100,81.430295,16.73638,15.612444,16.150415,2.804695,,85.286898,79.783264,82.535545,13.742237,0.683816,0.620203,0.653145,0.167542
99.231803,99.2042,99.2181,0.076801,130.976952,126.901088,128.951234,11.234337,0.871616,0.805861,0.837113,0.157123,0.6,0.719234,0.681065,0.701351,0.098094,100,82.068909,17.738035,16.656707,17.1733,2.806238,,88.244114,83.212004,85.727012,12.586641,0.726184,0.66436,0.696621,0.161936
99.152005,99.1228,99.1377,0.081089,118.604524,115.043036,116.854391,9.806199,0.906079,0.849769,0.878121,0.140299,0.7,0.709157,0.672012,0.691782,0.095863,100,82.782822,18.697159,17.64277,18.153267,2.78812,,90.95772,86.321063,88.597412,11.804147,0.760294,0.704728,0.732796,0.150881
99.081103,99.051395,99.0661,0.082632,109.335679,106.203986,107.774697,8.61508,0.930716,0.880564,0.906774,0.123636,0.8,0.699306,0.664014,0.682676,0.090788,100,83.176894,19.641072,18.657268,19.141963,2.660405,,92.480523,88.331892,90.49034,10.379285,0.790025,0.740879,0.766345,0.129886
99.0219,98.991197,99.0062,0.083191,102.724773,99.841102,101.276372,7.852123,0.939446,0.894349,0.91776,0.115325,0.9,0.689757,0.657548,0.674388,0.084453,100,83.011296,20.643543,19.642269,20.141291,2.576772,,92.991518,89.072505,91.066747,9.775435,0.816028,0.778181,0.797499,0.100298
98.9991,98.969498,98.9846,0.079803,100.430528,97.658517,99.083105,7.420804,0.964646,0.928786,0.94718,0.094624,1.0,0.68455,0.653534,0.670224,0.08073,100,83.908287,22.464073,21.506984,21.978212,2.63356,recommended,94.573177,91.111633,92.808197,8.746968,0.852878,0.831406,0.842059,0.056675
